Activity Name,Activity ID,Category,Format,Notes,Phase,Status,Time (min),Week Number,Week Title
Reflection #1 — draft and submit (DEAL model),3.18,Reflection & Assessment,Project,Graded individual submission (~5% of final grade); students draw from Foundation phase experience (Weeks 1–3); first DEAL reflection in the course — include DEAL reference sheet and pro tip on using AI for reflection within the assignment prompt; sequenced after kickoff so students have a significant experience to draw from; submitted via Riipen platform; AI disclosure required; 90 min standardized across all reflections,Foundation,Complete,90,3,Understanding Your Client
"Week 4 Overview — objectives, what's happening this week, suggested order of completion",4.01,Course Orientation,Module,Sets up the week; anchor deliverable is Context Analysis & Project Plan; names the cognitive shift from gathering to arguing,Discovery,Placeholder,5,4,Context Analysis & Project Plan
Synthesizing Research into Insights,4.02,Professional Fundamentals,Module,"Moving from ""what we found"" to ""what it means"" — patterns, conclusions, avoiding summary traps",Discovery,Placeholder,20,4,Context Analysis & Project Plan
Evidence-Based Reasoning,4.03,Professional Fundamentals,Module,What counts as evidence; supporting claims vs. asserting them; acknowledging uncertainty,Discovery,Placeholder,15,4,Context Analysis & Project Plan
From Insights to Strategic Implications,4.04,Professional Fundamentals,Module,"The ""so what"" move — naming assumptions, identifying constraints, connecting research to project approach",Discovery,Placeholder,20,4,Context Analysis & Project Plan
Prioritization in Planning,4.05,Professional Fundamentals,Module,"Scoping to reality, making tradeoffs explicit, what to do and what not to do",Discovery,Placeholder,15,4,Context Analysis & Project Plan
Risk Identification and Mitigation,4.06,Professional Fundamentals,Module,What goes wrong in projects; likelihood vs. impact thinking; realistic mitigation,Discovery,Placeholder,20,4,Context Analysis & Project Plan
Using AI for Research and Synthesis,4.07,Professional Fundamentals,Module,Prompting AI for competitive landscape or synthesis; evaluating output; verifying claims; what AI cannot do,Discovery,Placeholder,15,4,Context Analysis & Project Plan
"Deep research — competitive landscape, industry trends, stakeholder context",4.08,Project Work,Project,Students divide research responsibilities; heaviest single project block so far,Discovery,Placeholder,150,4,Context Analysis & Project Plan
Independent research on unfamiliar methods,4.09,Project Work,Project,"Self-directed skill acquisition — how to do competitive analysis, stakeholder mapping, risk matrices",Discovery,Placeholder,30,4,Context Analysis & Project Plan
Team synthesis meeting — align on key findings and strategic direction,4.10,Project Work,Project,"Team shares individual research, identifies most important insights, agrees on strategic framing before drafting begins",Discovery,Placeholder,90,4,Context Analysis & Project Plan
Individual drafting of assigned sections,4.11,Project Work,Project,Each team member drafts their portion of the Context Analysis & Project Plan,Discovery,Placeholder,90,4,Context Analysis & Project Plan
Async review of teammates' sections + comments,4.12,Project Work,Project,"Cross-review before integration pass — gaps, inconsistencies, disconnects between sections",Discovery,Placeholder,30,4,Context Analysis & Project Plan
Integration pass — making it read as one document,4.13,Project Work,Project,"Unified voice, transitions, no contradictions; one person leads or shared effort",Discovery,Placeholder,45,4,Context Analysis & Project Plan
Final team review and sign-off,4.14,Project Work,Project,Final check before submission; everyone affirms the document,Discovery,Placeholder,30,4,Context Analysis & Project Plan
Submit Context Analysis & Project Plan via LMS,4.15,Admin,Admin,,Discovery,Placeholder,10,4,Context Analysis & Project Plan
Async team communication across the week,4.16,Project Work,Project,"Higher than Week 3 due to more handoffs across research, drafting, and integration",Discovery,Placeholder,60,4,Context Analysis & Project Plan
"Week 5 Overview — objectives, what's happening this week, suggested order of completion",5.01,Course Orientation,Module,Names the Direction Check as the anchor event; orients students to the pre/during/post structure of the week,Discovery,Complete,5,5,Professional Communication
Module: Communicating Your Approach,5.02,Professional Fundamentals,Module,"Presenting a plan for validation, framing recommendations, inviting feedback",Discovery,Complete,15,5,Professional Communication
Module: Managing Expectations,5.03,Professional Fundamentals,Module,"What to do when scope shifts, delivering difficult messages, saying ""we can't do that"" professionally",Discovery,Complete,15,5,Professional Communication
Module: Preparing for Direction Check,5.04,Professional Fundamentals,Module,"What to present, what questions to ask, how to use this touchpoint effectively; includes contingency guidance for when the meeting doesn't go as expected — e.g., employer hasn't read the submission, scope shifts unexpectedly, or the conversation goes off-agenda",Discovery,Complete,15,5,Professional Communication
Module: Receiving Direction and Responding Well,5.05,Professional Fundamentals,Module,"How to listen without defending, asking clarifying questions when feedback is vague, translating verbal feedback into written plan adjustments",Discovery,Complete,15,5,Professional Communication
Review Context Analysis feedback + prep for Direction Check (team meeting),5.06,Project Work,Project,"Team reviews graded feedback on Context Analysis & Project Plan, if available; identifies what employer is likely to probe; assigns talking points",Discovery,Complete,60,5,Professional Communication
Prepare talking points for Direction Check,5.07,Project Work,Project,"Individual + team drafting of what to present, how to frame proposed approach, and what questions to ask; includes team review before meeting",Discovery,Complete,75,5,Professional Communication
Email coordination with employer — confirm logistics,5.08,Employer Engagement,Project,"Confirming meeting link, time, attendees; professional communication practice",Discovery,Complete,10,5,Professional Communication
"Direction Check — present Context Analysis and Project Plan, receive employer feedback on approach",5.09,Employer Engagement,Project,"60-min hold (may end early). First of only two formal student presentations in the course (the other is the Final Presentation in Week 15). Students present key findings from context research (15 min), proposed approach and rationale (10 min); employer feedback on direction (15 min); discussion and refinement (10 min); confirm priorities and next steps (5 min). Critical decision point where employer validates or redirects the project before students commit to production.",Discovery,Complete,60,5,Professional Communication
"Post-meeting debrief — what did we hear, what changes?",5.10,Project Work,Project,Immediate team debrief while conversation is fresh; captures verbal feedback before it degrades; precedes written summary,Discovery,Complete,45,5,Professional Communication
Draft Direction Check Summary,5.11,Project Work,Project,Translates verbal employer feedback into the written checkpoint document (1 page); first draft only,Discovery,Complete,30,5,Professional Communication
Async review of Direction Check Summary + finalize and submit,5.12,Project Work,Project,"Team reviews draft asynchronously, consolidates edits, and submits; completion-based checkpoint",Discovery,Complete,30,5,Professional Communication
Revise project plan based on Direction Check feedback,5.13,Project Work,Project,"Updates approach, milestones, or scope based on employer feedback; connects feedback to concrete planning decisions",Discovery,Complete,60,5,Professional Communication
"Develop deliverable structures — report outline + deck skeleton, divide sections",5.14,Project Work,Project,Translates revised approach into structural scaffolding for both final deliverables; divides drafting sections; sets up Week 6+ production,Discovery,Complete,60,5,Professional Communication
"Independent learning — research skills, formats, or domain knowledge needed for project production",5.15,Project Work,Project,"Self-directed learning based on each student's own gaps and needs; may include understanding unfamiliar deliverable formats, building domain knowledge, or developing skills needed for the production work ahead; varies by project type and student background",Discovery,Complete,60,5,Professional Communication
Async team communication across the week,5.16,Project Work,Project,"Coordination, logistics, and check-ins outside structured activities",Discovery,Complete,45,5,Professional Communication
"Week 6 Overview — objectives, what's happening this week, suggested order of completion",6.01,Course Orientation,Module,Names Reflection #1 as the anchor deliverable; orients students to the conceptual + production structure of the week,Discovery,Complete,5,6,Working Through Ambiguity
Module: Making Progress Under Uncertainty,6.02,Professional Fundamentals,Module,"How to draft with incomplete information, when to keep researching vs. start writing, how to flag a blocker without stalling the team",Discovery,Complete,20,6,Working Through Ambiguity
"Module: From Research to Draft — Organizing Notes, Building Outlines, and Moving into Production",6.03,Professional Fundamentals,Module,"How to cluster and synthesize raw research notes into an organized outline; how to evaluate whether an outline is ready to draft from; how to move from outline to prose without freezing; AI use cases for this process including organizing notes, stress-testing outline structure, and identifying gaps before drafting begins",Discovery,Complete,20,6,Working Through Ambiguity
Module: Navigating Disagreement with Teammates and Clients,6.04,Professional Fundamentals,Module,Disagreeing productively during production; when to defer to employer direction vs. push back gracefully; connects to Direction Check feedback students just received,Discovery,Complete,20,6,Working Through Ambiguity
Module: Formatting Professional Documents,6.05,Professional Fundamentals,Module,"Practical standards for professional document presentation: visual hierarchy, formatting consistency across team-authored sections, headings and white space, consistent terminology and style, basic visual elements (tables, charts, callouts); taught at the start of the first substantive production week so students build good habits from the beginning rather than retroactively fixing formatting in Week 11; the internal review gate (introduced Week 9) will catch formatting issues, but this module prevents the worst habits from forming; connects to the Deliverable Quality dimension on the Final Deliverables rubric (30% of grade) and the Communication dimension (15%)",Discovery,Complete,15,6,Working Through Ambiguity
Independent research to fill project knowledge gaps,6.06,Project Work,Project,Self-directed research to address gaps surfaced during deliverable structure work in Week 5,Discovery,Complete,60,6,Working Through Ambiguity
"Project work — research, drafting, outlining, and section development",6.07,Project Work,Project,"First substantive production week; students work on their assigned deliverable sections; may include continued research, outlining, note-taking, and drafting depending on project type and individual assignment; front-loaded to take advantage of available time before Week 7 WIP presentation prep",Discovery,Complete,210,6,Working Through Ambiguity
"Team sync — drafting check-in, surface blockers, align on progress",6.08,Project Work,Project,Internal sync; no employer touchpoint this week; longer than a check-in to accommodate first production week coordination,Discovery,Complete,60,6,Working Through Ambiguity
Async team communication across the week,6.09,Project Work,Project,"Coordination, logistics, check-ins outside structured activities; contribution record relevant to Peer Evaluation #1 in Week 8",Discovery,Complete,45,6,Working Through Ambiguity
Reflection #2 — draft and submit (DEAL model),6.10,Reflection & Assessment,Project,"Graded individual submission (~5% of final grade); students draw from Discovery phase experience (Weeks 4–6); second DEAL reflection — framework no longer new, expectation shifts to depth and honesty of examination; AI-as-Socratic-partner pro tip embedded in assignment; AI disclosure required; submitted via Riipen; 90 min standardized across all reflections",Discovery,Complete,90,6,Working Through Ambiguity
"Week 7 Overview — objectives, what's happening this week, suggested order of completion",7.01,Course Orientation,Module,"Names Check-In #1 as the anchor event; orients students to the production-centric module structure and feedback cycle; first week of Development phase; this is a questions-based employer meeting, not a formal presentation",Development,Complete,5,7,Building Professional Work Products
Module: Receiving Feedback Well,7.02,Professional Fundamentals,Module,Compressed from 20 min; 'Why Feedback Feels Hard' framing folded in as brief intro rather than standalone section; Listen → Clarify → Acknowledge → Decide Later protocol; just-in-time for Check-In #1,Development,Complete,15,7,Building Professional Work Products
Module: From Plan to Product — What Professional Deliverables Look Like,7.03,Professional Fundamentals,Module,"NEW — Conventions of client-facing reports, decks, and memos; difference between academic writing and professional writing; what makes a document 'polished' vs. 'complete'; fills the gap left by self-directed format research in Week 5",Development,Complete,15,7,Building Professional Work Products
Module: Reviewing Your Teammates' Work,7.04,Professional Fundamentals,Module,"Reframed from abstract 'Giving Useful Feedback' to concrete production review skill; how to read a colleague's draft section for clarity, argument structure, evidence quality, and tone; distinguishes line editing from structural feedback; positions as Peer Eval #1 prep for Week 8",Development,Complete,15,7,Building Professional Work Products
Module: Working with Data and Visuals in Your Deliverables,7.05,Professional Fundamentals,Module,"NEW — When to use tables, charts, or narrative; how to present numbers so they support your argument; using AI to help visualize data while maintaining accuracy; keeping it simple for a client audience",Development,Complete,15,7,Building Professional Work Products
Module: Preparing for Check-In #1,7.06,Professional Fundamentals,Module,"How to prepare for a questions-based employer meeting rather than a formal presentation; developing specific questions and decision points that make the meeting productive; anticipating what the employer might ask; planning how to capture and process input; this meeting is about getting what you need from the employer, not performing progress",Development,Complete,10,7,Building Professional Work Products
"Review Work-in-Progress Summary assignment + draft summary — progress update, challenges, and questions for employer",7.07,Project Work,Project,"Students first encounter the WIP Summary assignment description and completion criteria (not previewed in Week 6), then draft the document (1–2 pages): completed work, current status, challenges encountered, specific feedback needs; checkpoint deliverable; forces teams to articulate progress clearly before the meeting",Development,Complete,75,7,Building Professional Work Products
"Team prep session — develop questions and decision points for Check-In #1, plan agenda",7.08,Project Work,Project,"Internal preparation for Check-In #1; no presentation rehearsal needed — this is a questions-based meeting; teams identify specific questions, decision points, and areas where employer input would unblock progress; prepare brief status update (what's done, what's in progress, what's stuck); assign who leads which topic; emphasis on making the meeting productive rather than performing progress",Development,Complete,60,7,Building Professional Work Products
"Check-In #1 — bring questions and decision points, employer as resource",7.09,Employer Engagement,Project,"60-min hold (may end early). No formal presentation — students drive the agenda with specific questions, decision points, and areas where they need employer input. Brief status update (5 min), student questions and decision points (35–40 min), employer observations or emerging concerns (10 min), confirm priorities for next two weeks (5 min). Students' time is better spent doing the work than preparing a presentation about the work. If the team has no pressing questions, the meeting ends early.",Development,Complete,60,7,Building Professional Work Products
"Post-meeting debrief — capture answers and decisions from Check-In #1, identify action items",7.10,Project Work,Project,"Immediate team debrief while conversation is fresh; captures employer answers to questions, decisions made, and any new information surfaced; translates verbal input into written record and concrete next steps; parallels Week 5 post-Direction-Check debrief pattern",Development,Complete,30,7,Building Professional Work Products
"Independent learning — research, skills, or domain knowledge to address gaps surfaced during production",7.11,Project Work,Project,"Self-directed learning on targeted topics based on each student's own gaps; may include deepening domain knowledge, learning unfamiliar methods, or building skills needed for revision work ahead; consistent with Weeks 5 and 6 pattern",Development,Complete,60,7,Building Professional Work Products
"Continue project production — drafting, revision, and section development",7.12,Project Work,Project,Core production continues; students incorporate early takeaways from Check-In #1 where possible; reduced from 180 to 170 min to absorb module time increase; still substantial block reflecting production-intensive Development phase,Development,Complete,210,7,Building Professional Work Products
Async team communication across the week,7.13,Project Work,Project,"Coordination, logistics, check-ins outside structured activities; includes new standing prompt: Weekly Progress Check-In (first instance — teams check against project plan: what's done, what moved, what's blocked, who owns what this week; continues through Week 13); contribution record relevant to Peer Evaluation #1 in Week 8",Development,Complete,45,7,Building Professional Work Products
"Week 8 Overview — objectives, what’s happening this week, suggested order of completion",8.01,Course Orientation,Module,Names Peer Evaluation #1 as the anchor deliverable; orients students to the feedback-processing + peer eval structure of the week; no employer touchpoint this week,Development,Complete,5,8,From Feedback to Forward Motion
Module: Processing the Feedback You Received,8.02,Professional Fundamentals,Module,"Sorting employer feedback from Check-In #1: what to act on, what to note, what to set aside; making a feedback response plan; distinguishes between feedback that requires revision, feedback that informs future direction, and feedback to acknowledge but set aside",Development,Complete,15,8,From Feedback to Forward Motion
Module: Iteration as a Skill,8.03,Professional Fundamentals,Module,Revision isn’t failure — it’s the professional process; how to move from feedback to concrete revisions; connects to Responsiveness to Feedback dimension on Final Deliverables rubric,Development,Complete,15,8,From Feedback to Forward Motion
Module: Writing Substantive Peer Evaluations,8.04,Professional Fundamentals,Module,"Continue/Start/Adjust qualitative framework; BARS anchors and how to use them; distinction between vague ratings and actionable evidence with examples; calibration exercise using Maple & Main scenario (rate fictional teammate Jordan using BARS, guided discussion of correct ratings); how to be honest without being destructive; directly feeds Peer Eval #1 due this week",Development,Complete,20,8,From Feedback to Forward Motion
Module: AI as a Production Partner,8.05,Professional Fundamentals,Module,"Using AI for drafting, structural review, gap identification, self-editing during production; where AI helps vs. where it substitutes for thinking; maintaining ownership of AI-assisted work; connects to disclosure requirements on upcoming deliverables",Development,Complete,10,8,From Feedback to Forward Motion
"Review Peer Evaluation #1 assignment, BARS rubric, and evidence expectations",8.06,Reflection & Assessment,Project,"Students read the peer eval assignment description; review the four BARS dimensions (Reliability, Contribution, Constructive Engagement, Accountability) with behavioral anchors; understand the evidence requirement and self-evaluation component; first encounter with this deliverable format",Development,Complete,20,8,From Feedback to Forward Motion
Draft and submit Peer Evaluation #1 — qualitative feedback + BARS ratings + self-evaluation for each teammate,8.07,Reflection & Assessment,Project,"GRADED individual deliverable; four-part evaluation per teammate: (A) Continue/Start/Adjust qualitative feedback with 2-sentence minimum per prompt, (B) BARS ratings on four dimensions (Reliability, Contribution, Constructive Engagement, Accountability) with behavioral anchors and required evidence, (C) self-evaluation on same BARS dimensions, (D) team pulse questions (instructor-only); AI disclosure required; evidence without behavioral specifics flagged for instructor review",Development,Complete,105,8,From Feedback to Forward Motion
"Team feedback response planning — prioritize employer feedback from Check-In #1, assign revision responsibilities, update project plan",8.08,Project Work,Project,"Translates Check-In #1 debrief notes into a prioritized revision plan; which feedback to act on first, who owns each revision, how the timeline shifts; first structured application of 'Processing the Feedback You Received' module content; seeds Change Log habit",Development,Complete,45,8,From Feedback to Forward Motion
Continue project production — revisions based on Check-In #1 feedback + continued drafting and section development,8.09,Project Work,Project,Largest production block in the course so far; students simultaneously revising based on employer feedback and continuing forward production; some revisions may require rethinking approach not just editing; time is generous because this week has no employer meeting consuming synchronous time,Development,Complete,240,8,From Feedback to Forward Motion
"Independent learning — research, skills, or domain knowledge to address gaps surfaced by Check-In #1 feedback or production challenges",8.10,Project Work,Project,Self-directed learning; Check-In #1 feedback may have surfaced domain gaps or skill needs students hadn't anticipated; consistent with Weeks 5–7 pattern,Development,Complete,60,8,From Feedback to Forward Motion
Async team communication across the week,8.11,Project Work,Project,"Coordination, logistics, check-ins; continues Weekly Progress Check-In standing prompt (second instance); introduces Status Update to Employer standing prompt (brief async update between employer check-ins); contribution record now directly relevant given Peer Evaluation just completed",Development,Complete,45,8,From Feedback to Forward Motion
"Week 9 Overview — objectives, what's happening this week, suggested order of completion",9.01,Course Orientation,Module,"Names Draft Deliverable checkpoint and Check-In #2 as dual anchors; orients students to the production + employer meeting structure; this is a questions-based employer meeting, not a formal presentation; flags that peer eval results and employer mid-project survey results are available and will be discussed in the Team Processing Session",Development,Complete,5,9,Strengthening Your Work
Module: Making Your Sections Talk to Each Other,9.02,Professional Fundamentals,Module,"The #1 problem with team-produced documents: they read like separate papers stapled together; how to unify voice, create transitions, ensure logical flow across sections written by different people; directly feeds the Draft Deliverable checkpoint and the Communication dimension on the Final Deliverables rubric",Development,Complete,15,9,Strengthening Your Work
